Datetime,open,high,low,close,volume
2022-12-31 23:00:00+00:00,1196.18,1196.19,1195.6,1195.6,273.0137
2022-12-31 23:01:00+00:00,1195.61,1195.61,1194.64,1194.64,90.0305
2022-12-31 23:02:00+00:00,1194.64,1195.39,1194.39,1195.38,239.4062
2022-12-31 23:03:00+00:00,1195.37,1195.85,1194.79,1194.8,169.6446
2022-12-31 23:04:00+00:00,1194.79,1195.11,1194.55,1194.76,127.2669
2022-12-31 23:05:00+00:00,1194.76,1195.53,1194.76,1195.52,176.8258
2022-12-31 23:06:00+00:00,1195.53,1195.53,1194.83,1195.08,179.2919
2022-12-31 23:07:00+00:00,1195.08,1195.09,1194.58,1194.79,138.582
2022-12-31 23:08:00+00:00,1194.79,1194.79,1194.12,1194.12,83.8175
2022-12-31 23:09:00+00:00,1194.12,1194.37,1193.6,1194.1,259.184
2022-12-31 23:10:00+00:00,1194.09,1194.42,1194.0,1194.01,219.2486
2022-12-31 23:11:00+00:00,1194.01,1194.06,1193.63,1193.84,192.0546
2022-12-31 23:12:00+00:00,1193.84,1194.41,1193.71,1194.41,142.68
2022-12-31 23:13:00+00:00,1194.4,1195.07,1194.4,1194.84,121.7869
2022-12-31 23:14:00+00:00,1194.84,1195.58,1194.83,1195.57,68.9148
2022-12-31 23:15:00+00:00,1195.58,1196.46,1195.57,1196.42,400.5508
2022-12-31 23:16:00+00:00,1196.41,1196.63,1196.41,1196.63,155.4111
2022-12-31 23:17:00+00:00,1196.62,1196.7,1196.31,1196.65,65.974
2022-12-31 23:18:00+00:00,1196.65,1196.65,1196.1,1196.11,85.0399
2022-12-31 23:19:00+00:00,1196.1,1196.4,1195.65,1196.4,130.6405
2022-12-31 23:20:00+00:00,1196.39,1196.4,1196.16,1196.35,177.8336
2022-12-31 23:21:00+00:00,1196.35,1196.35,1195.58,1195.59,139.7362
2022-12-31 23:22:00+00:00,1195.58,1195.81,1195.28,1195.76,109.9831
2022-12-31 23:23:00+00:00,1195.77,1195.93,1195.76,1195.82,64.4908
2022-12-31 23:24:00+00:00,1195.81,1195.82,1195.6,1195.6,38.7918
2022-12-31 23:25:00+00:00,1195.6,1195.61,1195.42,1195.5,73.4692
2022-12-31 23:26:00+00:00,1195.51,1195.51,1195.0,1195.01,121.3843
2022-12-31 23:27:00+00:00,1195.0,1195.27,1194.98,1195.27,66.1903
2022-12-31 23:28:00+00:00,1195.27,1195.69,1195.26,1195.68,27.2058
2022-12-31 23:29:00+00:00,1195.68,1195.69,1195.68,1195.68,2.9431
2022-12-31 23:30:00+00:00,1195.68,1195.69,1195.02,1195.26,66.4874
2022-12-31 23:31:00+00:00,1195.27,1195.27,1195.18,1195.19,17.9625
2022-12-31 23:32:00+00:00,1195.18,1195.24,1195.18,1195.24,26.8602
2022-12-31 23:33:00+00:00,1195.23,1196.43,1195.23,1196.42,159.5389
2022-12-31 23:34:00+00:00,1196.42,1196.67,1196.1,1196.53,113.6812
2022-12-31 23:35:00+00:00,1196.53,1197.41,1196.53,1197.41,80.0572
